name,director,actors,genre,other,year,link
Big Town Czar,Arthur Lubin,NA,Mystery,Universal,1939,/wiki/Big_Town_Czar
Big Town Girl,Alfred L. Werker,NA,"Comedy, Drama",Fox,1937,/wiki/Big_Town_Girl
Big Town Scandal,William C. Thomas,NA,Drama,NA,1948,/wiki/Big_Town_Scandal
Big Trouble,John Cassavetes,NA,Comedy,Cassavetes' final film,1986,/wiki/Big_Trouble_(1986_film)
Big Trouble,Barry Sonnenfeld,NA,"Comedy, Crime",NA,2002,/wiki/Big_Trouble_(2002_film)
Big Trouble in Little China,John Carpenter,NA,Action,20th Century Fox,1986,/wiki/Big_Trouble_in_Little_China
Big Wednesday,John Milius,NA,Drama,Warner Bros.,1978,/wiki/Big_Wednesday
Bigfoot,Robert F. Slatzer,John Carradine,Horror,NA,1970,/wiki/Bigfoot_(1970_film)
Bigger Than Life,Nicholas Ray,NA,Drama,20th Century Fox,1956,/wiki/Bigger_Than_Life
Bigger Than the Sky,Al Corley,NA,Comedy,NA,2005,/wiki/Bigger_Than_the_Sky
Biggie & Tupac,Nick Broomfield,NA,Documentary,NA,2002,/wiki/Biggie_%26_Tupac
Biker Boyz,Reggie Rock Bythewood,NA,Action,NA,2003,/wiki/Biker_Boyz
Bikini Beach,William Asher,NA,Comedy,AIP,1964,/wiki/Bikini_Beach
Bill & Ted's Bogus Journey,Peter Hewitt,NA,Comedy,NA,1991,/wiki/Bill_%26_Ted%27s_Bogus_Journey
Bill & Ted's Excellent Adventure,Stephen Herek,NA,Comedy,led to sequel in 1991,1989,/wiki/Bill_%26_Ted%27s_Excellent_Adventure
Bill and Coo,Dean Riesner,NA,Nature,NA,1948,/wiki/Bill_and_Coo
Bill Cosby: Himself,Bill Cosby,Bill Cosby,Comedy,concert,1983,/wiki/Bill_Cosby:_Himself
Billie,Don Weis,NA,Musical,United Artists,1965,/wiki/Billie_(film)
Billion Dollar Brain,Ken Russell,NA,Spy,U.A.,1967,/wiki/Billion_Dollar_Brain
Billy Bathgate,Robert Benton,NA,Drama,NA,1991,/wiki/Billy_Bathgate_(film)
Billy Jack,Tom Laughlin,NA,action,2 sequels,1971,/wiki/Billy_Jack
Billy Jack Goes to Washington,Tom Laughlin,NA,NA,NA,1977,/wiki/Billy_Jack_Goes_to_Washington
Billy Madison,Tamra Davis,NA,Comedy,NA,1995,/wiki/Billy_Madison
Billy Rose's Jumbo,Charles Walters,NA,Musical comedy,MGM,1962,/wiki/Billy_Rose%27s_Jumbo_(film)
Billy the Kid,King Vidor,NA,Western,NA,1930,/wiki/Billy_the_Kid_(1930_film)
Billy the Kid,David Miller,NA,Western,NA,1941,/wiki/Billy_the_Kid_(1941_film)
Billy the Kid in Texas,Sam Newfield,NA,Western,"2nd (out of 6) with Steele in ""Billy the Kid"" series",1940,/wiki/Billy_the_Kid_in_Texas
Billy the Kid Outlawed,Sam Newfield,NA,Western,"1st (out of 6) film with Bob Steele in ""Billy the Kid"" series",1940,/w/index.php?title=Billy_the_Kid_Outlawed&action=edit&redlink=1
Billy the Kid vs. Dracula,William Beaudine,NA,"Western, horror",Embassy,1966,/wiki/Billy_the_Kid_vs._Dracula
Billy the Kid's Gun Justice,Sam Newfield,NA,Western,"3rd (out of 6) film with Bob Steele in ""Billy the Kid"" series",1940,/wiki/Billy_the_Kid%27s_Gun_Justice
Billy Two Hats,Ted Kotcheff,NA,Western,NA,1974,/wiki/Billy_Two_Hats
Billy's Hollywood Screen Kiss,Tommy O'Haver,NA,Comedy,NA,1998,/wiki/Billy%27s_Hollywood_Screen_Kiss
Biloxi Blues,Mike Nichols,NA,Comedy,NA,1988,/wiki/Biloxi_Blues
Bingo,Matthew Robbins,NA,Family,TriStar,1991,/wiki/Bingo_(1991_film)
Bio-Dome,Jason Bloom,NA,Comedy,NA,1996,/wiki/Bio-Dome
Biography of a Bachelor Girl,Edward H. Griffith,NA,"Comedy, Romance",NA,1935,/wiki/Biography_of_a_Bachelor_Girl
Bird,Clint Eastwood,NA,"Drama, Biography",NA,1988,/wiki/Bird_(1988_film)
Bird of Paradise,King Vidor,NA,Romantic,RKO,1932,/wiki/Bird_of_Paradise_(1932_film)
Bird of Paradise,Delmer Daves,NA,Drama,20th Century Fox,1951,/wiki/Bird_of_Paradise_(1951_film)
Bird on a Wire,John Badham,NA,"Comedy, Crime",NA,1990,/wiki/Bird_on_a_Wire_(film)
Birdman of Alcatraz,John Frankenheimer,NA,Drama,NA,1962,/wiki/Birdman_of_Alcatraz_(film)
Birds Anonymous,NA,NA,Animation,NA,1957,/wiki/Birds_Anonymous
Birds Do It,Andrew Marton,NA,Comedy,Columbia,1966,/wiki/Birds_Do_It
Birdy,Alan Parker,NA,Drama,NA,1984,/wiki/Birdy_(film)
Birth,Jonathan Glazer,NA,Drama,NA,2004,/wiki/Birth_(film)
Birth of The Beatles,Richard Marquand,NA,Biography,NA,1979,/wiki/Birth_of_The_Beatles
Birth of the Blues,Victor Schertzinger,NA,Musical,Paramount,1941,/wiki/Birth_of_the_Blues
Birthday Girl,Jez Butterworth,NA,Crime,NA,2002,/wiki/Birthday_Girl
Bite the Bullet,Richard Brooks,NA,Western,Columbia,1975,/wiki/Bite_the_Bullet_(film)
Bitter Sweet,W. S. Van Dyke,NA,Musical,NA,1940,/wiki/Bitter_Sweet_(1940_film)
Bitter Victory,Nicholas Ray,NA,War,Columbia,1957,/wiki/Bitter_Victory
Black and White,James Toback,NA,Crime,NA,1999,/wiki/Black_and_White_(1999_drama_film)
Black Angel,Roy William Neill,NA,Film noir,Universal,1946,/wiki/Black_Angel_(1946_film)
Black Arrow,Lew Landers,NA,Action western,NA,1944,/wiki/Black_Arrow_(serial)
Black Arrow,John Hough,NA,Adventure,TV film,1985,/wiki/Black_Arrow_(telefilm)
Black Bart,George Sherman,NA,Western,Universal,1948,/wiki/Black_Bart_(1948_film)
Black Beauty,Phil Rosen,NA,Drama,NA,1933,NA
Black Beauty,Max Nosseck,NA,Family,NA,1946,/wiki/Black_Beauty_(1946_film)
Black Beauty,Caroline Thompson,NA,Family. Drama,NA,1994,/wiki/Black_Beauty_(1994_film)
Black Belt Jones,Robert Clouse,NA,Action,Warner Bros.,1974,/wiki/Black_Belt_Jones
Black Cadillac,John Murlowski,NA,Horror,NA,2003,/wiki/Black_Cadillac_(film)
Black Caesar,Larry Cohen,NA,Crime drama,NA,1973,/wiki/Black_Caesar_(film)
"Black Cauldron, The",NA,NA,Animated,NA,1985,/wiki/The_Black_Cauldron_(film)
Black Christmas,Glen Morgan,NA,Horror,NA,2006,/wiki/Black_Christmas_(2006_film)
Black Cloud,Rick Schroder,NA,Drama,NA,2004,/wiki/Black_Cloud
Black Diamonds,Christy Cabanne,NA,Crime drama,NA,1940,/w/index.php?title=Black_Diamonds_(film)&action=edit&redlink=1
Black Dog,Kevin Hooks,NA,Action,Universal/Disney,1998,/wiki/Black_Dog_(film)
Black Dragons,William Nigh,Bela Lugosi,Sci-fi,Monogram,1942,/wiki/Black_Dragons
Black Eagle,Eric Karson,NA,Action,NA,1988,/wiki/Black_Eagle_(1988_film)
Black Eye,Jack Arnold,NA,Action,Warner Bros.,1974,/wiki/Black_Eye_(film)
Black Fist,Richard Kaye,NA,Action,NA,1975,/wiki/Black_Fist_(film)
Black Friday,Arthur Lubin,NA,Science fiction,NA,1940,/wiki/Black_Friday_(1940_film)
Black Fury,Michael Curtiz,NA,Drama,NA,1935,/wiki/Black_Fury_(film)
Black Gold,Phil Karlson,NA,Adventure,NA,1947,/w/index.php?title=Black_Gold_(1947_film)&action=edit&redlink=1
Black Gold,Leslie H. Martinson,NA,Adventure,Warner Bros.,1962,/wiki/Black_Gold_(1962_film)
Black Gold,"Mark Francis, Nick Francis",NA,Documentary,NA,2006,/wiki/Black_Gold_(2006_film)
Black Hand,Richard Thorpe,NA,Crime drama,MGM,1950,/wiki/Black_Hand_(1950_film)
Black Hawk Down,Ridley Scott,NA,War,NA,2001,/wiki/Black_Hawk_Down_(film)
Black Heat,Al Adamson,NA,Action,NA,1976,/wiki/Black_Heat_(film)
Black Jack,Julien Duvivier,NA,Adventure,NA,1950,/wiki/Black_Jack_(1950_film)
Black Knight,Gil Junger,Martin Lawrence,Comedy,NA,2001,/wiki/Black_Knight_(film)
Black Legion,NA,NA,Drama,Warner Bros.,1937,/wiki/Black_Legion_(film)
Black Like Me,Carl Lerner,NA,Drama,NA,1964,/wiki/Black_Like_Me_(film)
Black Magic,Phil Rosen,NA,Mystery,Monogram,1944,/wiki/Black_Magic_(1944_film)
Black Magic,Gregory Ratoff,NA,Drama,NA,1949,/wiki/Black_Magic_(1949_film)
Black Market Babies,William Beaudine,NA,Drama,NA,1945,/wiki/Black_Market_Babies
Black Marketing,William Castle,NA,Propaganda,NA,1943,/wiki/Black_Marketing
Black Midnight,Budd Boetticher,NA,Western,NA,1949,/w/index.php?title=Black_Midnight_(1949_film)&action=edit&redlink=1
Black Moon,Roy William Neill,NA,"Drama, Horror",NA,1934,/wiki/Black_Moon_(1934_film)
Black Moon Rising,Harley Cokeliss,NA,Action,NA,1986,/wiki/Black_Moon_Rising
Black Patch,Allen Miner,NA,Drama,Warner Bros.,1957,/wiki/Black_Patch_(film)
Black Rage,Chris Robinson,NA,Drama,NA,1972,/wiki/Black_Rage_(film)
Black Rain,Ridley Scott,NA,Crime drama,NA,1989,/wiki/Black_Rain_(American_film)
Black Roses,John Fasano,NA,Horror,NA,1988,/wiki/Black_Roses_(1988_film)
Black Samson,Charles Bail,Carol Speed,Action,NA,1974,/wiki/Black_Samson
Black Scorpion,Jonathan Winfrey,NA,Superhero,NA,1995,/wiki/Black_Scorpion_(film)
Black Scorpion II: Aftershock,Jonathan Winfrey,NA,Superhero,Sequel,1997,/wiki/Black_Scorpion_II:_Aftershock
Black Shampoo,Greydon Clark,NA,Drama,NA,1976,/wiki/Black_Shampoo
Black Sheep,Allan Dwan,NA,Drama,NA,1935,/wiki/Black_Sheep_(1935_film)
Black Sheep,Penelope Spheeris,NA,Comedy,NA,1996,/wiki/Black_Sheep_(1996_film)
Black Snake,Russ Meyer,NA,Adventure,NA,1973,/wiki/Black_Snake_(film)
Black Spurs,R. G. Springsteen,NA,Western,Paramount,1965,/wiki/Black_Spurs
Black Sun,Amanda Jane,NA,Drama,NA,1996,/w/index.php?title=Black_Sun_(1996_film)&action=edit&redlink=1
Black Sunday,John Frankenheimer,NA,NA,NA,1977,/wiki/Black_Sunday_(1977_film)
Black Swan,Darren Aronofsky,NA,Psychological thriller,Fox Searchlight Pictures,2010,/wiki/Black_Swan_(film)
Black Tuesday,Hugo Fregonese,NA,Crime drama,United Artists,1954,/wiki/Black_Tuesday_(1954_film)
Black Widow,Nunnally Johnson,NA,Mystery,20th Century Fox,1954,/wiki/Black_Widow_(1954_film)
Black Widow,Bob Rafelson,NA,Crime drama,20th Century Fox,1987,/wiki/Black_Widow_(1987_film)
Blackbeard the Pirate,Raoul Walsh,NA,Adventure,RKO,1952,/wiki/Blackbeard_the_Pirate
Blackbeard's Ghost,Robert Stevenson,NA,"Comedy, fantasy",Disney,1968,/wiki/Blackbeard%27s_Ghost
Blackboard Jungle,Richard Brooks,NA,Drama,NA,1955,/wiki/Blackboard_Jungle
Blackenstein,William A. Levey,NA,Horror,NA,1973,/wiki/Blackenstein
Blackmail,H. C. Potter,NA,Crime Drama,MGM,1939,/wiki/Blackmail_(1939_film)
Blackmail,Lesley Selander,NA,Crime,Republic,1947,/wiki/Blackmail_(1947_film)
Blackwell's Island,William C. McGann,NA,Crime,Warner Bros.,1939,/wiki/Blackwell%27s_Island_(film)
Blacula,William Crain,NA,Horror,NA,1972,/wiki/Blacula
Blade,Stephen Norrington,NA,Horror,NA,1998,/wiki/Blade_(film)
Blade II,Guillermo del Toro,NA,NA,NA,2002,/wiki/Blade_II
Blade Runner,Ridley Scott,NA,Science-fiction,NA,1982,/wiki/Blade_Runner
Blade: Trinity,David S. Goyer,NA,Horror,NA,2004,/wiki/Blade:_Trinity
Blades of Glory,NA,NA,NA,DreamWorks Pictures,2007,/wiki/Blades_of_Glory
Blame It on Rio,Stanley Donen,NA,Comedy,Donen's final film,1984,/wiki/Blame_It_on_Rio
Blame It on the Bellboy,Mark Herman,NA,Comedy,NA,1992,/wiki/Blame_It_on_the_Bellboy
Blank Check,Rupert Wainwright,NA,Comedy,NA,1994,/wiki/Blank_Check_(film)
Blankman,Mike Binder,NA,Comedy,Columbia,1994,/wiki/Blankman
Blast from the Past,Hugh Wilson,NA,Romantic comedy,NA,1999,/wiki/Blast_from_the_Past_(film)
Blast of Silence,Allen Baron,NA,Thriller,NA,1961,/wiki/Blast_of_Silence
Blast-Off Girls,H.G. Lewis,Ray Sager,Comedy,NA,1967,/wiki/Blast-Off_Girls
Blaze,Ron Shelton,NA,"Drama, Biography",NA,1989,/wiki/Blaze_(film)
Blaze of Noon,John Farrow,NA,Drama,Paramount,1947,/wiki/Blaze_of_Noon
Blazing Saddles,Mel Brooks,NA,Western comedy,NA,1974,/wiki/Blazing_Saddles
Blazing Six Shooters,Joseph H. Lewis,NA,Western,NA,1940,/w/index.php?title=Blazing_Six_Shooters&action=edit&redlink=1
Blazing Stewardesses,Al Adamson,NA,Comedy,NA,1975,/wiki/Blazing_Stewardesses
Blazing the Overland Trail,Spencer Bennet,Lee Roberts,Serial,Columbia,1956,/wiki/Blazing_the_Overland_Trail
Bless the Beasts and Children,Stanley Kramer,NA,drama,NA,1971,/wiki/Bless_the_Beasts_and_Children_(film)
Bless the Child,Chuck Russell,NA,Thriller,NA,2000,/wiki/Bless_the_Child
Blessed Event,Roy Del Ruth,NA,Comedy,Warner Bros.,1932,/wiki/Blessed_Event
Blind Alley,Charles Vidor,NA,Crime,Columbia,1939,/wiki/Blind_Alley_(film)
Blind Date,Roy Mack,NA,"Comedy, Romance",NA,1934,/wiki/Blind_Date_(1934_film)
Blind Date,Nico Mastorakis,NA,Thriller,New Line Cinema,1984,/wiki/Blind_Date_(1984_film)
Blind Date,Blake Edwards,NA,Comedy,Willis's first film,1987,/wiki/Blind_Date_(1987_film)
Blind Dating,James Keach,NA,Comedy,NA,2006,/wiki/Blind_Dating
Blind Faith,Paul Wendkos,NA,Crime drama,NA,1990,/wiki/Blind_Faith_(1990_film)
Blind Fury,Phillip Noyce,NA,Drama,TriStar,1989,/wiki/Blind_Fury
Blind Horizon,Michael Haussman,NA,Drama,NA,2003,/wiki/Blind_Horizon
Blind Justice,Richard Spence,NA,Drama,NA,1994,/wiki/Blind_Justice_(1994_film)
Blind Spot,Robert Gordon,NA,Suspense,NA,1947,/wiki/Blind_Spot_(1947_film)
Blindfold,Philip Dunne,NA,Suspense,Universal,1965,/wiki/Blindfold_(film)
Blink,Michael Apted,NA,Thriller,New Line Cinema,1994,/wiki/Blink_(film)
Blizzard,LeVar Burton,NA,Family,NA,2003,/wiki/Blizzard_(film)
Block Busters,Wallace Fox,NA,Comedy,Monogram,1944,/wiki/Block_Busters
Block-Heads,John G. Blystone,NA,Comedy,NA,1938,/wiki/Block-Heads
Blockade,William Dieterle,NA,"Drama, War",Fox,1938,/wiki/Blockade_(1938_film)
Blond Cheat,Joseph Santley,NA,Comedy,RKO,1938,/wiki/Blond_Cheat
Blonde Ambition,Scott Marshall,NA,Romantic comedy,NA,2007,/wiki/Blonde_Ambition
Blonde Cobra,Ken Jacobs,Jack Smith,Short,NA,1963,/wiki/Blonde_Cobra
Blonde Crazy,Roy Del Ruth,NA,Comedy,NA,1931,/wiki/Blonde_Crazy
Blonde Fever,Richard Whorf,NA,"Comedy, Drama",MGM,1944,/wiki/Blonde_Fever
Blonde Ice,Jack Bernhard,NA,Film noir,Film Classics,1948,/wiki/Blonde_Ice
Blonde Ransom,William Beaudine,NA,Drama,NA,1945,/wiki/Blonde_Ransom
Blonde Venus,Josef von Sternberg,NA,Drama,Paramount,1932,/wiki/Blonde_Venus
Blondes At Work,Frank McDonald,NA,"Drama, Crime",NA,1938,/w/index.php?title=Blondes_At_Work&action=edit&redlink=1
Blondie,Frank R. Strayer,NA,Comedy,Columbia,1938,/wiki/Blondie_(1938_film)
Blondie Brings Up Baby,Frank R. Strayer,NA,Comedy,Columbia,1939,/wiki/Blondie_Brings_Up_Baby
Blondie Goes to College,Frank Strayer,NA,Comedy,NA,1942,/wiki/Blondie_Goes_to_College
Blondie Has Servant Trouble,Frank R. Strayer,NA,Comedy,NA,1940,/wiki/Blondie_Has_Servant_Trouble
Blondie Johnson,Ray Enright,NA,Drama,NA,1933,/wiki/Blondie_Johnson
Blondie Meets the Boss,Frank R. Strayer,NA,Comedy,Columbia,1939,/wiki/Blondie_Meets_the_Boss
Blondie of the Follies,Edmund Goulding,NA,Comedy,MGM,1932,/wiki/Blondie_of_the_Follies
Blondie on a Budget,Frank R. Strayer,NA,Comedy,NA,1940,/wiki/Blondie_on_a_Budget
Blondie Plays Cupid,Frank R. Strayer,NA,Comedy,NA,1940,/wiki/Blondie_Plays_Cupid
Blondie Takes a Vacation,Frank R. Strayer,NA,Comedy,Columbia,1939,/wiki/Blondie_Takes_a_Vacation
Blondie's Holiday,Abby Berlin,NA,Comedy,Columbia,1947,/wiki/Blondie%27s_Holiday
Blood Alley,William A. Wellman,NA,Drama,Warner Bros.,1955,/wiki/Blood_Alley
Blood and Lace,Philip Gilbert,NA,horror,A.I.P.,1971,/wiki/Blood_and_Lace
Blood and Sand,Rouben Mamoulian,NA,Drama,NA,1941,/wiki/Blood_and_Sand_(1941_film)
Blood and Wine,Bob Rafelson,NA,Crime drama,NA,1996,/wiki/Blood_and_Wine
Blood Arrow,Charles Marquis Warren,NA,Western,20th Century Fox,1958,/wiki/Blood_Arrow
Blood Bath,NA,NA,Horror,NA,1966,/wiki/Blood_Bath
Blood Brothers,Ernie Fritz,NA,Documentary,NA,1996,/wiki/Blood_Brothers_(documentary)
Blood Diamond,Edward Zwick,NA,Drama,NA,2006,/wiki/Blood_Diamond_(film)
Blood Diner,Jackie Kong,Rick Burks,Horror,NA,1987,/wiki/Blood_Diner
Blood Feast,H.G. Lewis,NA,Horror,NA,1963,/wiki/Blood_Feast
Blood In Blood Out,Taylor Hackford,NA,Crime drama,NA,1993,/wiki/Blood_In_Blood_Out
Blood Money,Rowland Brown,NA,"Drama, Crime",NA,1933,/wiki/Blood_Money_(1933_film)
Blood of Dracula's Castle,Al Adamson,NA,Horror,NA,1969,/wiki/Blood_of_Dracula%27s_Castle
Blood on the Arrow,Sidney Salkow,NA,Western,Allied Artists,1964,/wiki/Blood_on_the_Arrow
Blood on the Moon,Robert Wise,NA,Western,RKO,1948,/wiki/Blood_on_the_Moon
Blood on the Sun,Frank Lloyd,NA,Drama,United Artists,1945,/wiki/Blood_on_the_Sun
Blood Orgy of the Leather Girls,Meredith Lucas,NA,Comedy,NA,1988,/wiki/Blood_Orgy_of_the_Leather_Girls
Blood Simple,NA,NA,Suspense,first film from Coen brothers,1984,/wiki/Blood_Simple
Blood Tea and Red String,Christiane Cegavske,NA,Animation,NA,2006,/wiki/Blood_Tea_and_Red_String
Blood Thirst,Newt Arnold,"Robert Winston, Yvonne Nielson, Judy Dennis",horror,NA,1971,/wiki/Blood_Thirst
Blood Work,Clint Eastwood,NA,Crime drama,NA,2002,/wiki/Blood_Work_(film)
Bloodbrothers,Robert Mulligan,NA,Drama,Warner Bros.,1978,/wiki/Bloodbrothers_(1978_film)
Bloodfist II,Andy Blumenthal,Don Wilson,Action,sequel,1990,/wiki/Bloodfist_II
Bloodfist V: Human Target,Jeff Yonis,Don Wilson,Martial arts,NA,1994,/wiki/Bloodfist_V:_Human_Target
Bloodfist VI: Ground Zero,Rick Jacobson,NA,Action,sequel,1995,/wiki/Bloodfist_VI:_Ground_Zero
Bloodfist VII: Manhunt,Jonathan Winfrey,NA,Action,sequel,1995,/wiki/Bloodfist_VII:_Manhunt
Bloodhounds of Broadway,Harmon Jones,NA,Musical,20th Century Fox,1952,/wiki/Bloodhounds_of_Broadway_(1952_film)
Bloodhounds of Broadway,Howard Brookner,NA,"Drama, Musical",NA,1989,/wiki/Bloodhounds_of_Broadway_(1989_film)
Bloodline,Terence Young,NA,Drama,NA,1979,/wiki/Bloodline_(1979_film)
Bloodlust: Subspecies III,NA,NA,Horror,NA,1994,/wiki/Bloodlust:_Subspecies_III
Bloodlust!,Ralph Brooke,NA,Horror,Crown International,1961,/wiki/Bloodlust!
Bloodsport,Newt Arnold,NA,Action,NA,1988,/wiki/Bloodsport_(film)
Bloodsport II: The Next Kumite,Alan Mehrez,NA,Action,sequel,1996,/wiki/Bloodsport_II:_The_Next_Kumite
Bloodsport III,Alan Mehrez,NA,Action,Direct-to-video,1997,/wiki/Bloodsport_III
Bloodstone,Dwight. H . Little,Rajinikanth,Adventure,NA,1988,/wiki/Bloodstone_(1988_film)
Bloody Mama,Roger Corman,NA,Crime,American International,1970,/wiki/Bloody_Mama
Bloody Mary,Richard Valentine,NA,Horror,NA,2006,/wiki/Bloody_Mary_(2006)
Bloody Pit of Horror,Massimo Pupillo,NA,Horror,NA,1965,/wiki/Bloody_Pit_of_Horror
Blossoms in the Dust,Mervyn LeRoy,NA,Drama,NA,1941,/wiki/Blossoms_in_the_Dust
Blow,Ted Demme,NA,"Biography, Drama",NA,2001,/wiki/Blow_(film)
Blow Out,Brian De Palma,NA,Thriller,Filmways,1981,/wiki/Blow_Out
Blowing Wild,Hugo Fregonese,NA,Drama,Warner Bros.,1953,/wiki/Blowing_Wild
Blown Away,Brenton Spencer,NA,Drama,NA,1992,/wiki/Blown_Away_(1992_film)
Blown Away,Stephen Hopkins,NA,Action,MGM,1994,/wiki/Blown_Away_(1994_film)
Blue Cat Blues,Hanna-Barbera,Tom and Jerry,Animation,MGM,1956,/wiki/Blue_Cat_Blues
Blue Chips,William Friedkin,NA,"Drama, Sports",NA,1994,/wiki/Blue_Chips
Blue City,Michelle Manning,NA,Drama,NA,1986,/wiki/Blue_City_(film)
Blue Collar,Paul Schrader,NA,"Drama, Crime",Universal,1978,/wiki/Blue_Collar_(film)
Blue Crush,John Stockwell,NA,Romance,NA,2002,/wiki/Blue_Crush
Blue Denim,Philip Dunne,NA,Drama,20th Century Fox,1959,/wiki/Blue_Denim
Blue Desert,Bradley Battersby,NA,Thriller,NA,1991,/wiki/Blue_Desert_(film)
Blue Hawaii,Norman Taurog,NA,Musical,Paramount,1961,/wiki/Blue_Hawaii
Blue in the Face,NA,NA,Comedy,NA,1995,/wiki/Blue_in_the_Face
Blue Montana Skies,B. Reeves Eason,NA,Western,Republic,1939,/wiki/Blue_Montana_Skies
Blue Movie,Andy Warhol,Viva,Adult film,NA,1969,/wiki/Blue_Movie
Blue Skies,Stuart Heisler,NA,Musical,Paramount,1946,/wiki/Blue_Skies_(1946_film)
Blue Sky,Tony Richardson,NA,Drama,NA,1994,/wiki/Blue_Sky_(film)
Blue State,Marshall Lewy,NA,Romantic comedy,NA,2007,/wiki/Blue_State_(film)
Blue Steel,Kathryn Bigelow,NA,Thriller,NA,1990,/wiki/Blue_Steel_(1990_film)
Blue Streak,Les Mayfield,NA,"Comedy, Crime",NA,1999,/wiki/Blue_Streak_(film)
Blue Thunder,John Badham,NA,Action,Columbia,1983,/wiki/Blue_Thunder
Blue Valentine,Derek Cianfrance,NA,Romantic drama,NA,2010,/wiki/Blue_Valentine_(film)
Blue Velvet,David Lynch,NA,Suspense,NA,1986,/wiki/Blue_Velvet_(film)
Bluebeard,Edgar G. Ulmer,NA,Thriller,PRC,1944,/wiki/Bluebeard_(1944_film)
Bluebeard,Edward Dmytryk,NA,Thriller,Cinerama Releasing Corporation,1972,/wiki/Bluebeard_(1972_film)
Bluebeard's Eighth Wife,Ernst Lubitsch,NA,Comedy,Paramount,1938,/wiki/Bluebeard%27s_Eighth_Wife
Blues Brothers 2000,John Landis,NA,Comedy,NA,1998,/wiki/Blues_Brothers_2000
Blues Busters,William Beaudine,NA,Comedy,NA,1950,/wiki/Blues_Busters_(film)
Blues in the Night,Anatole Litvak,NA,Musical,NA,1941,/wiki/Blues_in_the_Night_(1941_film)
Blume in Love,Paul Mazursky,NA,Romantic comedy,Warner Bros.,1973,/wiki/Blume_in_Love
Boardwalk,Stephen Verona,NA,Drama,NA,1979,/wiki/Boardwalk_(film)
Boat Trip,Mort Nathan,NA,Comedy,NA,2003,/wiki/Boat_Trip_(film)
Bob & Carol & Ted & Alice,Paul Mazursky,NA,Comedy,NA,1969,/wiki/Bob_%26_Carol_%26_Ted_%26_Alice
Bob and Sally,Erle C. Kenton,NA,Educational,Universal,1948,/wiki/Bob_and_Sally
Bob Roberts,Tim Robbins,NA,Comedy,script by Robbins,1992,/wiki/Bob_Roberts
Bobbie Jo and the Outlaw,Mark L. Lester,NA,Drama,NA,1976,/wiki/Bobbie_Jo_and_the_Outlaw
Bobby,Emilio Estevez,NA,Drama,NA,2006,/wiki/Bobby_(2006_film)
Bobby Deerfield,Sydney Pollack,NA,Drama,NA,1977,/wiki/Bobby_Deerfield
Bobby Jones: Stroke of Genius,Rowdy Herrington,NA,"Biography, sports",NA,2004,/wiki/Bobby_Jones:_Stroke_of_Genius
"Bodies, Rest & Motion",Michael Steinberg,NA,Drama,Fine Line,1993,"/wiki/Bodies,_Rest_%26_Motion"
Body and Soul,Robert Rossen,NA,Film noir,U.A.,1947,/wiki/Body_and_Soul_(1947_film)
Body and Soul,George Bowers,NA,Sports drama,NA,1981,/wiki/Body_and_Soul_(1981_film)
Body Double,Brian De Palma,NA,Suspense,Columbia,1984,/wiki/Body_Double
Body Heat,Lawrence Kasdan,NA,Suspense,"first film for Kasdan, Turner",1981,/wiki/Body_Heat
Body of Evidence,Uli Edel,NA,Thriller,NA,1993,/wiki/Body_of_Evidence_(1993_film)
Body of Lies,Ridley Scott,NA,Drama,NA,2008,/wiki/Body_of_Lies_(film)
Body Parts,Eric Red,NA,Horror,NA,1991,/wiki/Body_Parts_(film)
Body Rock,Marcelo Epstein,NA,Musical,NA,1984,/wiki/Body_Rock
Body Slam,Hal Needham,NA,Comedy,NA,1987,/wiki/Body_Slam_(film)
Body Snatchers,Abel Ferrara,NA,Science fiction,NA,1993,/wiki/Body_Snatchers_(1993_film)
Bodyguard,Richard Fleischer,NA,Film noir,RKO,1948,/wiki/Bodyguard_(1948_film)
Boeing Boeing,John Rich,NA,Comedy,Paramount,1965,/wiki/Boeing_Boeing_(1965_film)
Boiler Room,Ben Younger,NA,Drama,New Line Cinema,2000,/wiki/Boiler_Room_(film)
Boiling Point,James B. Harris,NA,Drama,Warner Bros.,1993,/wiki/Boiling_Point_(1993_film)
Bolero,NA,NA,Drama,NA,1934,/wiki/Bolero_(1934_film)
Bolero,John Derek,NA,Drama,NA,1984,/wiki/Bolero_(1984_film)
Bolt,Chris Williams,NA,Animation,Walt Disney Pictures,2008,/wiki/Bolt_(2008_film)
Bombardier,Richard Wallace,NA,War,RKO,1943,/wiki/Bombardier_(film)
Bombay Clipper,John Rawlins,NA,Drama,NA,1941,/wiki/Bombay_Clipper
Bomber's Moon,Charles Fuhr,NA,War,20th Century Fox,1943,/wiki/Bomber%27s_Moon
